"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value"
"2007","Greece","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Greece","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Greece","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Spain","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Spain","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Spain","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Spain","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Spain","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Spain","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","France","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","France","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","France","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","France","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","France","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","France","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Croatia","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Croatia","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Croatia","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Croatia","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Croatia","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Croatia","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Italy","Carbon dioxide","Total - all NACE activities","Thousand tonnes","378,333.901"
"2007","Italy","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","47,500.6166"
"2007","Italy","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","21,020.72421"
"2007","Italy","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","6,038.94915"
"2007","Italy","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","1,886.2036"
"2007","Italy","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","461.19124"
"2007","Cyprus","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Cyprus","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Cyprus","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Cyprus","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Cyprus","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Cyprus","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Latvia","Carbon dioxide","Total - all NACE activities","Thousand tonnes","8,730.168"
"2007","Latvia","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","1,743.55452"
"2007","Latvia","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","1,615.07106"
"2007","Latvia","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","82.88642"
"2007","Latvia","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Latvia","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","4.55022"
"2007","Lithuania","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Lithuania","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Lithuania","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Lithuania","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Lithuania","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Lithuania","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Luxembourg","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Luxembourg","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Luxembourg","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Luxembourg","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Luxembourg","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Luxembourg","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Hungary","Carbon dioxide","Total - all NACE activities","Thousand tonnes","44,857.628"
"2007","Hungary","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","7,800.20568"
"2007","Hungary","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","4,522.95265"
"2007","Hungary","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","888.13214"
