Dim.1
quanti
   ;correlation;p.value;
Chomagec=Chomagec_9;0.8624;0;
Chomageb=Chomageb_99;0.4017;0;
Chomagea=Chomagea_99;1.3159;0;
Varif=Varif_9;0.1573;0;
Varif=Varif_5;0.2708;0;
Varif=Varif_4;0.4466;0;
Varif=Varif_3;0.1867;0;
Varic=Varic_5;0.4446;0;
Varic=Varic_4;0.608;0;
Varic=Varic_3;0.5;0;
Varib=Varib_4;0.8403;0;
Varib=Varib_3;0.7847;0;
Varia=Varia_1;0.149;0;
Patrib=Patrib_99;0.7779;0;
Patrib=Patrib_98;0.4236;0;
Patrib=Patrib_15;1.1177;0;
Patrib=Patrib_14;0.5233;0;
Patrib=Patrib_13;0.7963;0;
Patrib=Patrib_12;0.4395;0;
Patrib=Patrib_11;0.6607;0;
Patrib=Patrib_10;0.7119;0;
Patrib=Patrib_9;0.2183;0;
Patrib=Patrib_8;0.6304;0;
vehic=vehic_1;0.4222;0;
stalog4=stalog4_4;1.0267;0;
stalog4=stalog4_2;0.9292;0;
Stalog=Stalog_6;0.6057;0;
Stalog=Stalog_3;2.0455;0;
Stalog=Stalog_2;1.1541;0;
Stalog=Stalog_1;0.0173;0;
CONFORT.MOY=CONFORT.MOY_7;0.6541;0;
CONFORT.MOY=CONFORT.MOY_6;0.0611;0;
CONFORT.MOY=CONFORT.MOY_4;0.4453;0;
CONFORT.MOY=CONFORT.MOY_2;2.2556;0;
CONFORT7=CONFORT7_1;0.3124;0;
CONFORT6=CONFORT6_1;0.2428;0;
CONFORT5=CONFORT5_0;0.3834;0;
CONFORT4=CONFORT4_0;0.2581;0;
CONFORT2=CONFORT2_0;0.3258;0;
Ancons=Ancons_6;0.764;0;
Ancons=Ancons_5;0.6157;0;
Ancons=Ancons_2;0.2763;0;
Ancons=Ancons_1;0.5012;0;
Htl=Htl_5;0.9603;0;
Htl=Htl_1;0.8198;0;
Surfhab=Surfhab_999;0.8382;0;
Surfhab=Surfhab_390;3.1671;0;
Surfhab=Surfhab_340;2.6331;0;
Surfhab=Surfhab_307;2.1298;0;
Surfhab=Surfhab_300;1.3517;0;
Surfhab=Surfhab_260;1.5732;0;
Surfhab=Surfhab_234;1.3002;0;
Surfhab=Surfhab_230;1.5083;0;
Surfhab=Surfhab_220;2.4082;0;
Surfhab=Surfhab_200;1.0614;0;
Surfhab=Surfhab_198;1.9027;0;
Surfhab=Surfhab_197;2.6984;0;
Surfhab=Surfhab_185;2.1671;0;
Surfhab=Surfhab_180;1.0432;0;
Surfhab=Surfhab_156;2.8955;0;
Surfhab=Surfhab_150;0.7372;0;
Surfhab=Surfhab_149;1.7038;0;
Surfhab=Surfhab_145;1.1208;0;
Surfhab=Surfhab_144;1.074;0;
Surfhab=Surfhab_143;2.8373;0;
Surfhab=Surfhab_140;0.4551;0;
Surfhab=Surfhab_132;2;0;
Surfhab=Surfhab_130;0.9355;0;
Surfhab=Surfhab_128;2.1763;0;
Surfhab=Surfhab_125;0.44;0;
Surfhab=Surfhab_120;1.1284;0;
Surfhab=Surfhab_118;0.7027;0;
Surfhab=Surfhab_117;1.0533;0;
Surfhab=Surfhab_115;1.2051;0;
Surfhab=Surfhab_111;2.0745;0;
Surfhab=Surfhab_110;0.8458;0;
Surfhab=Surfhab_109;0.9662;0;
Surfhab=Surfhab_108;1.5427;0;
Surfhab=Surfhab_106;0.9679;0;
Surfhab=Surfhab_104;0.9251;0;
Surfhab=Surfhab_102;2.0859;0;
Surfhab=Surfhab_100;0.8005;0;
Surfhab=Surfhab_99;0.7112;0;
Surfhab=Surfhab_98;0.9922;0;
Surfhab=Surfhab_95;1.5452;0;
Surfhab=Surfhab_90;0.3993;0;
Surfhab=Surfhab_78;0.6216;0;
Surfhab=Surfhab_70;0.3266;0;
Surfhab=Surfhab_31;1.5852;0;
Surfhab=Surfhab_26;1.5969;0;
Nbphab=Nbphab_9;1.0239;0;
Nbphab=Nbphab_8;0.8399;0;
Nbphab=Nbphab_7;0.8104;0;
Nbphab=Nbphab_6;0.9035;0;
Nbphab=Nbphab_5;0.8142;0;
Nbphab=Nbphab_4;0.5402;0;
Nbrs=Nbrs_3;0.7746;0;
Existrs=Existrs_1;0.3768;0;
TAU=TAU_6;0.0953;0;
TAU=TAU_4;0.5108;0;
TAU=TAU_2;1.3583;0;
TAU=TAU_1;0.2006;0;
TAU=TAU_0;0.6576;0;
CATAEU=CATAEU_400;0.7139;0;
CATAEU=CATAEU_300;0.2884;0;
CATAEU=CATAEU_212;1.2025;0;
CATAEU=CATAEU_211;0.3618;0;
CATAEU=CATAEU_120;0.1729;0;
CATAEU=CATAEU_112;0.3221;0;
TUU=TUU_4;0.2563;0;
TUU=TUU_2;0.0782;0;
TUU=TUU_1;0.5108;0;
TUU=TUU_0;0.6362;0;
TYPLOG=TYPLOG_3;0.0745;0;
TYPLOG=TYPLOG_2;1.0147;0;
TYPLOG=TYPLOG_1;1.5503;0;
TYPVOIS=TYPVOIS_2;0.8391;0;
TYPVOIS=TYPVOIS_1;0.9635;0;
CSP8PR=CSP8PR_99;1.3877;0;
CSP8PR=CSP8PR_7;1.5317;0;
CS42PR=CS42PR_99;1.4495;0;
CS42PR=CS42PR_86;1.1599;0;
CS42PR=CS42PR_78;1.4141;0;
CS42PR=CS42PR_77;1.3267;0;
CS42PR=CS42PR_75;1.7196;0;
CS42PR=CS42PR_74;1.92;0;
CS42PR=CS42PR_72;1.7194;0;
CS42PR=CS42PR_71;1.8194;0;
CS42PR=CS42PR_22;0.5411;0;
AGEPR=AGEPR_91;2.653;0;
AGEPR=AGEPR_90;0.7146;0;
AGEPR=AGEPR_89;1.8549;0;
AGEPR=AGEPR_87;2.2043;0;
AGEPR=AGEPR_86;1.1666;0;
AGEPR=AGEPR_85;1.863;0;
AGEPR=AGEPR_84;0.5206;0;
AGEPR=AGEPR_83;1.212;0;
AGEPR=AGEPR_82;1.8721;0;
AGEPR=AGEPR_81;1.4409;0;
AGEPR=AGEPR_80;0.9258;0;
AGEPR=AGEPR_79;1.4295;0;
AGEPR=AGEPR_78;1.1821;0;
AGEPR=AGEPR_77;1.065;0;
AGEPR=AGEPR_76;1.4892;0;
AGEPR=AGEPR_75;2.0232;0;
AGEPR=AGEPR_74;1.6107;0;
AGEPR=AGEPR_73;1.6731;0;
AGEPR=AGEPR_72;1.1614;0;
AGEPR=AGEPR_71;1.2796;0;
AGEPR=AGEPR_70;1.7063;0;
AGEPR=AGEPR_69;1.5153;0;
AGEPR=AGEPR_68;1.5689;0;
AGEPR=AGEPR_67;1.4015;0;
AGEPR=AGEPR_66;1.6136;0;
AGEPR=AGEPR_65;1.1202;0;
AGEPR=AGEPR_64;1.0846;0;
AGEPR=AGEPR_63;0.8025;0;
AGEPR=AGEPR_62;0.6469;0;
AGEPR=AGEPR_61;0.575;0;
AGEPR=AGEPR_60;0.1489;0;
AGEPR=AGEPR_56;0.3119;0;
SEXEPR=SEXEPR_1;0.0537;0;
TYPMEN5=TYPMEN5_3;0.7215;0;
NACTIFS=NACTIFS_0;1.3105;0;
NENFANTS=NENFANTS_2;0.1523;0;
NENFANTS=NENFANTS_1;0.2558;0;
NENFANTS=NENFANTS_0;0.7588;0;
NCOUPLES=NCOUPLES_1;0.1088;0;
NPERS=NPERS_5;0.0237;0;
NPERS=NPERS_4;0.2274;0;
NPERS=NPERS_3;0.1835;0;
NPERS=NPERS_2;1.0672;0;
NPERS=NPERS_1;0.445;0;
DNIVIE2=DNIVIE2_9;0.1308;0;
DNIVIE2=DNIVIE2_5;0.1062;0;
DNIVIE2=DNIVIE2_3;0.1949;0;
QNIVIE2=QNIVIE2_5;0.0696;0;
QNIVIE2=QNIVIE2_3;0.0988;0;
decile.uc=decile.uc_6;0.1314;0;
decile.uc=decile.uc_5;0.1691;0;
DECTYPO_2010=DECTYPO_2010_D0_6;0.1314;0;
DECTYPO_2010=DECTYPO_2010_D0_5;0.1691;0;
DECTYPO_2017=DECTYPO_2017_D0_6;0.1314;0;
DECTYPO_2017=DECTYPO_2017_D0_5;0.1691;0;
typo2010.acp.2017=typo2010.acp.2017_4;2.0769;0;
typo2010.acp.2017=typo2010.acp.2017_3;0.2162;0;
typo.2.4.2017=typo.2.4.2017_4;2.0896;0;
typo.2.4.2017=typo.2.4.2017_3;0.2678;0;
pauvrete.60=pauvrete.60_0;0.1155;0;
pauvreté.50=pauvreté.50_0;0.0799;0;
CSP8PR=CSP8PR_2;0.3426;0;
CS42PR=CS42PR_21;0.4948;0;
decile.uc=decile.uc_9;0.0915;0;
DECTYPO_2010=DECTYPO_2010_D0_9;0.0915;0;
DECTYPO_2017=DECTYPO_2017_D0_9;0.0915;0;
Surfhab=Surfhab_80;0.2153;0;
Surfhab=Surfhab_135;0.9522;0;
DNIVIE2=DNIVIE2_6;0.0912;0;
