Dim.1
quanti
   ;correlation;p.value;
NPERS=NPERS_8;-0.5568;0;
AGEPR=AGEPR_54;-0.0054;0;
AGEPR=AGEPR_50;-0.0065;0;
Varib=Varib_1;-1.0474;0;
CS42PR=CS42PR_23;-0.3042;0;
Espoira=Espoira_5;-0.5267;0;
Surfhab=Surfhab_210;-0.458;0;
Surfhab=Surfhab_250;-0.5236;0;
Surfhab=Surfhab_300;-0.6903;0;
Surfhab=Surfhab_72;-0.2588;0;
Espoira=Espoira_8;-0.576;0;
AGEPR=AGEPR_73;-0.3064;0;
CONFORT.MOY=CONFORT.MOY_2;-0.3124;0;
Surfhab=Surfhab_115;-0.3722;0;
TUU=TUU_6;-0.0366;0;
AGEPR=AGEPR_72;-0.2927;0;
Espoira=Espoira_9;-0.5128;0;
Ancons=Ancons_7;-0.6879;0;
Espoira=Espoira_7;-0.4867;0;
AGEPR=AGEPR_88;-0.6204;0;
Ancons=Ancons_8;-0.7069;0;
Niveau=Niveau_6;-0.5749;0;
CS42PR=CS42PR_31;-0.1977;0;
Surfhab=Surfhab_47;-0.3754;0;
DNIVIE2=DNIVIE2_6;-0.0792;0;
Niveau=Niveau_5;-0.4891;0;
Niveau=Niveau_3;-0.7398;0;
Niveau=Niveau_2;-0.8684;0;
Niveau=Niveau_1;-1.043;0;
Espoirb=Espoirb_11;-0.502;0;
Espoirb=Espoirb_10;-0.5796;0;
Espoirb=Espoirb_9;-0.4968;0;
Espoirb=Espoirb_7;-0.3716;0;
Espoirb=Espoirb_5;-0.1969;0;
Espoirb=Espoirb_4;-0.5895;0;
Espoirb=Espoirb_3;-0.5113;0;
Espoirb=Espoirb_2;-0.0274;0;
Espoirb=Espoirb_1;-0.1369;0;
Espoira=Espoira_12;-0.6613;0;
Espoira=Espoira_11;-0.5504;0;
Espoira=Espoira_6;-0.1364;0;
Espoira=Espoira_4;-0.3461;0;
Espoira=Espoira_3;-0.707;0;
Contfin=Contfin_9;-0.0728;0;
Contfin=Contfin_8;-0.6154;0;
Contfin=Contfin_2;-1.1603;0;
Contfin=Contfin_1;-1.378;0;
Aise=Aise_4;-0.7336;0;
Aise=Aise_2;-1.129;0;
Aise=Aise_1;-1.2044;0;
Chomagec=Chomagec_99;-0.5774;0;
Chomagec=Chomagec_4;-0.847;0;
Chomagec=Chomagec_3;-0.7886;0;
Chomagec=Chomagec_2;-0.8486;0;
Chomageb=Chomageb_99;-0.438;0;
Chomageb=Chomageb_5;-0.7798;0;
Chomageb=Chomageb_4;-0.8912;0;
Chomageb=Chomageb_3;-0.7652;0;
Chomageb=Chomageb_2;-0.7962;0;
Chomageb=Chomageb_1;-0.8332;0;
Chomagea=Chomagea_99;-0.4773;0;
Chomagea=Chomagea_9;-1.0687;0;
Chomagea=Chomagea_3;-0.8615;0;
Chomagea=Chomagea_1;-0.8754;0;
Varif=Varif_9;-0.7163;0;
Varif=Varif_5;-0.9555;0;
Varif=Varif_4;-1.0198;0;
Varif=Varif_3;-0.998;0;
Varif=Varif_2;-0.6671;0;
Varif=Varif_1;-0.4207;0;
Varic=Varic_6;-0.2478;0;
Varic=Varic_4;-0.818;0;
Varic=Varic_2;-0.843;0;
Varic=Varic_1;-0.8857;0;
Varib=Varib_5;-1.0477;0;
Varib=Varib_3;-1.2368;0;
Varia=Varia_9;-0.7045;0;
Varia=Varia_2;-1.0896;0;
Varia=Varia_1;-1.304;0;
Patrib=Patrib_99;-0.3539;0;
Patrib=Patrib_15;-0.8598;0;
Patrib=Patrib_14;-0.6528;0;
Patrib=Patrib_13;-0.586;0;
Patrib=Patrib_12;-0.4255;0;
Patrib=Patrib_10;-0.3857;0;
Patrib=Patrib_7;-0.418;0;
Patrib=Patrib_4;-0.4334;0;
Patrib=Patrib_3;-0.0438;0;
Patrib=Patrib_2;-0.1253;0;
vehic=vehic_1;-0.3653;0;
stalog4=stalog4_2;-0.1335;0;
stalog4=stalog4_1;-0.1329;0;
Stalog=Stalog_4;-0.1267;0;
Stalog=Stalog_3;-0.5373;0;
Stalog=Stalog_2;-0.3435;0;
Stalog=Stalog_1;-0.343;0;
CONFORT.MOY=CONFORT.MOY_6;-1.043;0;
CONFORT.MOY=CONFORT.MOY_4;-0.7647;0;
CONFORT8=CONFORT8_1;-0.4162;0;
CONFORT7=CONFORT7_1;-0.0919;0;
CONFORT6=CONFORT6_1;-0.0692;0;
CONFORT5=CONFORT5_0;-0.0462;0;
CONFORT4=CONFORT4_1;-0.1194;0;
CONFORT3=CONFORT3_1;-0.155;0;
CONFORT2=CONFORT2_1;-0.0999;0;
CONFORT1=CONFORT1_1;-0.5614;0;
Ancons=Ancons_99;-0.3265;0;
Ancons=Ancons_9;-0.7804;0;
Ancons=Ancons_5;-0.4757;0;
Ancons=Ancons_3;-0.7891;0;
Ancons=Ancons_2;-0.5196;0;
Ancons=Ancons_1;-0.6804;0;
Htl=Htl_8;-0.4751;0;
Htl=Htl_2;-0.84;0;
Htl=Htl_1;-1.0849;0;
Surfhab=Surfhab_600;-0.8378;0;
Surfhab=Surfhab_390;-1.8616;0;
Surfhab=Surfhab_350;-1.1251;0;
Surfhab=Surfhab_307;-4.1362;0;
Surfhab=Surfhab_218;-1.0873;0;
Surfhab=Surfhab_200;-0.6148;0;
Surfhab=Surfhab_190;-0.5144;0;
Surfhab=Surfhab_180;-0.3436;0;
Surfhab=Surfhab_170;-1.1033;0;
Surfhab=Surfhab_165;-0.8641;0;
Surfhab=Surfhab_160;-0.43;0;
Surfhab=Surfhab_156;-2.0855;0;
Surfhab=Surfhab_155;-1.2682;0;
Surfhab=Surfhab_150;-0.5319;0;
Surfhab=Surfhab_140;-0.5836;0;
Surfhab=Surfhab_130;-0.3125;0;
Surfhab=Surfhab_127;-0.8961;0;
Surfhab=Surfhab_125;-0.505;0;
Surfhab=Surfhab_116;-0.6697;0;
Surfhab=Surfhab_114;-0.4307;0;
Surfhab=Surfhab_113;-0.8233;0;
Surfhab=Surfhab_109;-0.7335;0;
Surfhab=Surfhab_107;-0.8419;0;
Surfhab=Surfhab_105;-0.6758;0;
Surfhab=Surfhab_101;-0.5825;0;
Surfhab=Surfhab_100;-0.3563;0;
Surfhab=Surfhab_97;-0.814;0;
Surfhab=Surfhab_94;-0.5985;0;
Surfhab=Surfhab_92;-0.5445;0;
Surfhab=Surfhab_90;-0.2874;0;
Surfhab=Surfhab_85;-0.3166;0;
Surfhab=Surfhab_76;-0.4811;0;
Surfhab=Surfhab_74;-0.5031;0;
Surfhab=Surfhab_69;-0.4512;0;
Surfhab=Surfhab_62;-0.4246;0;
Surfhab=Surfhab_45;-0.3808;0;
Surfhab=Surfhab_44;-1.2089;0;
Surfhab=Surfhab_39;-0.6121;0;
Surfhab=Surfhab_28;-1.0195;0;
Surfhab=Surfhab_13;-1.2585;0;
Surfhab=Surfhab_10;-0.9257;0;
Nbphab=Nbphab_19;-1.4084;0;
Nbphab=Nbphab_13;-1.2688;0;
Nbphab=Nbphab_10;-0.7899;0;
Nbphab=Nbphab_9;-1.0205;0;
Nbphab=Nbphab_8;-0.6007;0;
Nbphab=Nbphab_7;-0.5482;0;
Nbphab=Nbphab_6;-0.3336;0;
Nbphab=Nbphab_5;-0.2773;0;
Nbphab=Nbphab_4;-0.1781;0;
Nbphab=Nbphab_3;-0.0483;0;
Nbrs=Nbrs_3;-2.3588;0;
Nbrs=Nbrs_2;-0.9129;0;
Nbrs=Nbrs_1;-1.0546;0;
Nbrs=Nbrs_0;-0.6379;0;
Existrs=Existrs_1;-0.1228;0;
TAU=TAU_4;-0.21;0;
TAU=TAU_2;-0.4369;0;
TAU=TAU_1;-0.1181;0;
TAU=TAU_0;-0.0578;0;
CATAEU=CATAEU_212;-0.248;0;
CATAEU=CATAEU_211;-0.2628;0;
TUU=TUU_4;-0.1083;0;
TUU=TUU_2;-0.1924;0;
TUU=TUU_0;-0.1059;0;
TYPLOG=TYPLOG_6;-1.0015;0;
TYPLOG=TYPLOG_5;-0.1215;0;
TYPLOG=TYPLOG_3;-0.6105;0;
TYPLOG=TYPLOG_2;-0.3506;0;
TYPLOG=TYPLOG_1;-0.4264;0;
TYPVOIS=TYPVOIS_2;-0.1649;0;
TYPVOIS=TYPVOIS_1;-0.2034;0;
CSP8PR=CSP8PR_7;-0.2268;0;
CSP8PR=CSP8PR_6;-0.0292;0;
CSP8PR=CSP8PR_5;-0.0264;0;
CSP8PR=CSP8PR_4;-0.2583;0;
CSP8PR=CSP8PR_3;-0.4096;0;
CS42PR=CS42PR_78;-0.1516;0;
CS42PR=CS42PR_72;-0.5256;0;
CS42PR=CS42PR_71;-0.718;0;
CS42PR=CS42PR_68;-0.2446;0;
CS42PR=CS42PR_48;-0.4165;0;
CS42PR=CS42PR_47;-0.3283;0;
CS42PR=CS42PR_45;-0.3321;0;
CS42PR=CS42PR_43;-0.2069;0;
CS42PR=CS42PR_42;-0.2345;0;
CS42PR=CS42PR_38;-0.5231;0;
CS42PR=CS42PR_37;-0.4009;0;
CS42PR=CS42PR_33;-0.5628;0;
AGEPR=AGEPR_91;-1.7876;0;
AGEPR=AGEPR_89;-0.5118;0;
AGEPR=AGEPR_86;-0.7099;0;
AGEPR=AGEPR_84;-0.578;0;
AGEPR=AGEPR_83;-0.3602;0;
AGEPR=AGEPR_81;-0.3748;0;
AGEPR=AGEPR_80;-0.3862;0;
AGEPR=AGEPR_79;-0.3558;0;
AGEPR=AGEPR_71;-0.3417;0;
AGEPR=AGEPR_70;-0.3039;0;
AGEPR=AGEPR_68;-0.5839;0;
AGEPR=AGEPR_62;-0.268;0;
AGEPR=AGEPR_60;-0.2931;0;
AGEPR=AGEPR_59;-0.3254;0;
AGEPR=AGEPR_58;-0.3683;0;
AGEPR=AGEPR_57;-0.5201;0;
AGEPR=AGEPR_55;-0.5452;0;
AGEPR=AGEPR_51;-0.3211;0;
AGEPR=AGEPR_46;-0.6803;0;
AGEPR=AGEPR_45;-0.2959;0;
AGEPR=AGEPR_44;-0.3317;0;
AGEPR=AGEPR_43;-0.5111;0;
AGEPR=AGEPR_42;-0.2867;0;
AGEPR=AGEPR_41;-0.6869;0;
AGEPR=AGEPR_40;-0.5045;0;
AGEPR=AGEPR_39;-0.6214;0;
AGEPR=AGEPR_34;-0.5271;0;
SEXEPR=SEXEPR_1;-0.0411;0;
TYPMEN5=TYPMEN5_4;-0.3534;0;
TYPMEN5=TYPMEN5_3;-0.2399;0;
NENFACT=NENFACT_2;-0.2372;0;
NACTIFS=NACTIFS_4;-0.4207;0;
NACTIFS=NACTIFS_3;-0.0618;0;
NACTIFS=NACTIFS_2;-0.0762;0;
NENFANTS=NENFANTS_3;-0.354;0;
NENFANTS=NENFANTS_2;-0.3206;0;
NCOUPLES=NCOUPLES_1;-0.4253;0;
NCOUPLES=NCOUPLES_0;-0.0038;0;
NPERS=NPERS_5;-0.2114;0;
NPERS=NPERS_4;-0.2828;0;
DNIVIE2=DNIVIE2_10;-0.4128;0;
DNIVIE2=DNIVIE2_9;-0.2178;0;
DNIVIE2=DNIVIE2_8;-0.1362;0;
DNIVIE2=DNIVIE2_7;-0.0882;0;
DNIVIE2=DNIVIE2_5;-0.1456;0;
QNIVIE2=QNIVIE2_5;-0.3085;0;
QNIVIE2=QNIVIE2_4;-0.1096;0;
QNIVIE2=QNIVIE2_3;-0.1086;0;
decile.uc=decile.uc_10;-0.4485;0;
decile.uc=decile.uc_9;-0.2477;0;
decile.uc=decile.uc_8;-0.0813;0;
decile.uc=decile.uc_7;-0.1046;0;
decile.uc=decile.uc_5;-0.149;0;
DECTYPO_2010=DECTYPO_2010_D0_9;-0.2477;0;
DECTYPO_2010=DECTYPO_2010_D0_8;-0.0813;0;
DECTYPO_2010=DECTYPO_2010_D0_7;-0.1046;0;
DECTYPO_2010=DECTYPO_2010_D0_5;-0.149;0;
DECTYPO_2010=DECTYPO_2010_D_10;-0.4485;0;
DECTYPO_2017=DECTYPO_2017_D0_9;-0.2477;0;
DECTYPO_2017=DECTYPO_2017_D0_8;-0.0813;0;
DECTYPO_2017=DECTYPO_2017_D0_7;-0.1046;0;
DECTYPO_2017=DECTYPO_2017_D0_5;-0.149;0;
DECTYPO_2017=DECTYPO_2017_D_10;-0.4485;0;
typo.2.4.2017=typo.2.4.2017_1;-0.1248;0;
pauvrete.60=pauvrete.60_0;-0.379;0;
pauvreté.50=pauvreté.50_0;-0.4504;0;

Dim.4
quanti
   ;correlation;p.value;
w.revdiv;0.6525;0;
Axe.4;0.6488;0;
w.cantines;0.5356;0;
revdiv;0.5347;0;
cantines;0.4663;0;
w.revaide;0.4369;0;
revaide;0.3498;0;
REV701;0.3135;0;
Axe.3;0.3022;0;
C10;0.2152;0;
w.depenerpreng;0.1879;0;
COEFFUC;0.1696;0;
w.enerdom;0.1639;0;
enerdom;0.1545;0;
REV700;0.1524;0;
w.enerdomtot;0.1358;0;
PREST_FAM_TOT;0.1213;0;
C11;0.1198;0;
C14;0.1022;0;
w.enerdircontr;0.0998;0;
w.revsoc;0.0914;0;
CHOMAGE;0.0554;0;
C09;0.0383;0;
w.enerdir;0.0379;0;
REVEXC;0.0355;0;
REVSOC;0.0345;0;
revlibdisp;0.0335;0;
enerdir;0.0314;0;
C01;0.0306;0;
revtotlib;0.0269;0;
REVDISP;0.0266;0;
w.commo;0.0237;0;
Axe.2;0.0237;0;
C03;0.022;0;
REVTOT;0.0209;0;
ctot113;0.0184;0;
C08;0.0171;0;
commo;0.0171;0;
REV702;0.0166;0;
deptot;0.0158;0;
C13;0.0145;0;
Rmini_I;0.0118;0;
Rmini;0.0103;0;
C05;0.0083;0;
Axe.1;0.004;0;
SALAIRES;-0.0037;0;
RETRAITES;-0.006;0;
REVACT.1;-0.0115;0;
REVACT;-0.0115;0;
w.depreng;-0.0129;0;
IMPOTREV_M;-0.015;0;
C12;-0.0194;0;
TAXHAB_M;-0.0246;0;
REVINDEP;-0.0259;0;
C02;-0.0265;0;
C07;-0.0288;0;
depreng;-0.0309;0;
carburant;-0.0516;0;
REVPAT;-0.0636;0;
assurances;-0.0639;0;
revlibdispuc;-0.0678;0;
revtotlibuc;-0.0722;0;
w.carbu;-0.0771;0;
w.revpat;-0.09;0;
revtotuc;-0.0975;0;
NIVIE;-0.0979;0;
redispuc;-0.0979;0;
w.assurances;-0.1041;0;
deplogtot;-0.1078;0;
C04;-0.1078;0;
w.deplogpreng;-0.1087;0;
w.logtot;-0.1087;0;
pondmen.cs24.NPERS_84;-0.1168;0;
pondmen.cs24_84;-0.1234;0;
pondmen;-0.1256;0;
log.non.ener;-0.147;0;
w.log.non.ener;-0.1608;0;
television;-0.162;0;
w.revact;-0.1817;0;
w.television;-0.1948;0;
Axe.5;-0.4273;0;

quali
   ;R2;p.value;
pauvreté.50;0.0333;0;
pauvrete.60;0.0259;0;
typo.2.4.2017;0.0326;0;
typo2010.acp.2017;0.0173;0;
DECTYPO_2017;0.0424;0;
DECTYPO_2010;0.0424;0;
decile.uc;0.0424;0;
QNIVIE2;0.0271;0;
DNIVIE2;0.0398;0;
NPERS;0.0504;0;
NCOUPLES;5e-04;0;
NENFANTS;0.0731;0;
NACTIFS;0.0128;0;
NENFACT;0.0021;0;
TYPMEN5;0.0404;0;
SEXEPR;0.0012;0;
AGEPR;0.1394;0;
CS42PR;0.1339;0;
CSP8PR;0.0585;0;
TYPVOIS;0.0276;0;
TYPLOG;0.0362;0;
TUU;0.0051;0;
CATAEU;0.0029;0;
TAU;0.003;0;
Nbrs;0.0016;0;
Nbphab;0.0257;0;
Surfhab;0.1446;0;
Htl;0.0153;0;
Ancons;0.0103;0;
CONFORT1;0.007;0;
CONFORT3;5e-04;0;
CONFORT5;0.0054;0;
CONFORT6;0.0019;0;
CONFORT.MOY;0.0285;0;
Stalog;0.0136;0;
stalog4;0.0123;0;
vehic;0.0113;0;
Patrib;0.0269;0;
Varia;0.0012;0;
Varib;0.0163;0;
Varic;0.0098;0;
Varif;0.0066;0;
Chomagea;0.0211;0;
Chomageb;0.0037;0;
Chomagec;0.0023;0;
Aise;0.0031;0;
Contfin;0.0028;0;
Espoira;0.0128;0;
Espoirb;0.0081;0;
Niveau;0.0028;0;
Existrs;3e-04;0;
CONFORT7;3e-04;0;
CONFORT4;1e-04;0;
CONFORT2;0;0;
CONFORT8;0;0;

category
   ;Estimate;p.value;
Niveau=Niveau_6;0.2484;0;
Niveau=Niveau_2;0.1686;0;
Espoirb=Espoirb_99;0.2277;0;
Espoirb=Espoirb_4;0.1704;0;
Espoirb=Espoirb_2;0.1734;0;
Espoirb=Espoirb_1;0.184;0;
Espoira=Espoira_4;0.2806;0;
Espoira=Espoira_2;0.2435;0;
Espoira=Espoira_1;0.2912;0;
Contfin=Contfin_2;0.1774;0;
Contfin=Contfin_1;0.068;0;
Aise=Aise_4;0.0361;0;
Aise=Aise_3;0.154;0;
Aise=Aise_1;0.0407;0;
Chomagec=Chomagec_99;0.2234;0;
Chomagec=Chomagec_4;0.0472;0;
Chomagec=Chomagec_2;0.0551;0;
Chomageb=Chomageb_4;0.3996;0;
Chomageb=Chomageb_3;0.2425;0;
Chomageb=Chomageb_2;0.0567;0;
Chomagea=Chomagea_99;0.371;0;
Chomagea=Chomagea_2;0.0976;0;
Chomagea=Chomagea_1;0.1114;0;
Varif=Varif_4;0.0574;0;
Varif=Varif_3;0.1765;0;
Varif=Varif_2;0.2265;0;
Varic=Varic_5;0.2512;0;
Varic=Varic_3;0.1798;0;
Varib=Varib_6;1.3829;0;
Varib=Varib_3;0.0246;0;
Patrib=Patrib_14;0.1662;0;
Patrib=Patrib_13;0.2812;0;
Patrib=Patrib_12;0.327;0;
Patrib=Patrib_5;0.3235;0;
Patrib=Patrib_1;0.2626;0;
vehic=vehic_2;0.1566;0;
stalog4=stalog4_1;0.1427;0;
Stalog=Stalog_5;0.3357;0;
Stalog=Stalog_3;0.0445;0;
Stalog=Stalog_1;0.0631;0;
CONFORT.MOY=CONFORT.MOY_3;3.5419;0;
CONFORT6=CONFORT6_0;0.0456;0;
CONFORT5=CONFORT5_0;0.1111;0;
CONFORT3=CONFORT3_1;0.0938;0;
CONFORT1=CONFORT1_0;0.2955;0;
Ancons=Ancons_10;1.7462;0;
Ancons=Ancons_8;0.1182;0;
Htl=Htl_2;0.1193;0;
Htl=Htl_1;0.3562;0;
Surfhab=Surfhab_350;0.9419;0;
Surfhab=Surfhab_300;0.8044;0;
Surfhab=Surfhab_234;1.614;0;
Surfhab=Surfhab_230;1.0465;0;
Surfhab=Surfhab_200;0.5532;0;
Surfhab=Surfhab_190;0.6074;0;
Surfhab=Surfhab_170;1.889;0;
Surfhab=Surfhab_160;0.2301;0;
Surfhab=Surfhab_150;0.2415;0;
Surfhab=Surfhab_147;0.4471;0;
Surfhab=Surfhab_140;0.2058;0;
Surfhab=Surfhab_127;0.5297;0;
Surfhab=Surfhab_125;0.3191;0;
Surfhab=Surfhab_120;0.2011;0;
Surfhab=Surfhab_114;0.6646;0;
Surfhab=Surfhab_113;1.0508;0;
Surfhab=Surfhab_100;0.203;0;
Surfhab=Surfhab_82;0.4516;0;
Surfhab=Surfhab_75;0.2133;0;
Surfhab=Surfhab_59;1.6297;0;
Surfhab=Surfhab_50;0.3578;0;
Surfhab=Surfhab_40;0.3831;0;
Surfhab=Surfhab_34;0.7799;0;
Surfhab=Surfhab_21;2.6121;0;
Surfhab=Surfhab_20;0.5155;0;
Surfhab=Surfhab_19;3.4066;0;
Surfhab=Surfhab_18;2.089;0;
Nbphab=Nbphab_8;0.2837;0;
Nbphab=Nbphab_7;0.4953;0;
Nbphab=Nbphab_6;0.2009;0;
Nbphab=Nbphab_5;0.1367;0;
Nbphab=Nbphab_4;0.1055;0;
Nbphab=Nbphab_1;0.2264;0;
Nbrs=Nbrs_2;0.4156;0;
CATAEU=CATAEU_211;0.1735;0;
TUU=TUU_7;0.0401;0;
TUU=TUU_0;0.0782;0;
TYPLOG=TYPLOG_7;0.7863;0;
TYPLOG=TYPLOG_3;0.5182;0;
TYPVOIS=TYPVOIS_2;0.1021;0;
TYPVOIS=TYPVOIS_1;0.2176;0;
CSP8PR=CSP8PR_8;0.9994;0;
CSP8PR=CSP8PR_3;0.0698;0;
CSP8PR=CSP8PR_2;0.0909;0;
CS42PR=CS42PR_85;0.416;0;
CS42PR=CS42PR_84;2.7587;0;
CS42PR=CS42PR_47;0.3491;0;
CS42PR=CS42PR_34;0.1506;0;
CS42PR=CS42PR_31;0.358;0;
CS42PR=CS42PR_21;0.4055;0;
AGEPR=AGEPR_84;0.3577;0;
AGEPR=AGEPR_82;0.1169;0;
AGEPR=AGEPR_47;0.291;0;
AGEPR=AGEPR_46;0.2288;0;
AGEPR=AGEPR_45;0.4752;0;
AGEPR=AGEPR_44;0.3186;0;
AGEPR=AGEPR_42;0.1589;0;
AGEPR=AGEPR_41;0.4387;0;
AGEPR=AGEPR_39;0.8157;0;
AGEPR=AGEPR_36;0.2605;0;
AGEPR=AGEPR_23;0.5571;0;
AGEPR=AGEPR_20;1.306;0;
AGEPR=AGEPR_19;1.9203;0;
AGEPR=AGEPR_18;2.478;0;
AGEPR=AGEPR_17;2.8205;0;
SEXEPR=SEXEPR_2;0.0358;0;
TYPMEN5=TYPMEN5_5;0.2735;0;
TYPMEN5=TYPMEN5_4;0.0644;0;
TYPMEN5=TYPMEN5_2;0.2432;0;
NENFACT=NENFACT_2;0.4416;0;
NACTIFS=NACTIFS_4;0.5515;0;
NACTIFS=NACTIFS_0;0.0153;0;
NENFANTS=NENFANTS_6;1.2196;0;
NENFANTS=NENFANTS_5;0.3048;0;
NENFANTS=NENFANTS_3;0.0451;0;
NCOUPLES=NCOUPLES_0;0.1107;0;
NPERS=NPERS_8;1.3326;0;
NPERS=NPERS_7;0.1749;0;
NPERS=NPERS_5;0.1283;0;
NPERS=NPERS_4;0.0291;0;
DNIVIE2=DNIVIE2_5;0.0724;0;
DNIVIE2=DNIVIE2_2;0.0901;0;
DNIVIE2=DNIVIE2_1;0.5759;0;
QNIVIE2=QNIVIE2_1;0.3161;0;
decile.uc=decile.uc_5;0.1094;0;
decile.uc=decile.uc_2;0.0877;0;
decile.uc=decile.uc_1;0.6019;0;
DECTYPO_2010=DECTYPO_2010_D0_5;0.1094;0;
DECTYPO_2010=DECTYPO_2010_D0_2;0.0877;0;
DECTYPO_2010=DECTYPO_2010_D0_1;0.6019;0;
DECTYPO_2017=DECTYPO_2017_D0_5;0.1094;0;
DECTYPO_2017=DECTYPO_2017_D0_2;0.0877;0;
DECTYPO_2017=DECTYPO_2017_D0_1;0.6019;0;
typo2010.acp.2017=typo2010.acp.2017_4;0.0601;0;
typo2010.acp.2017=typo2010.acp.2017_3;0.1085;0;
typo2010.acp.2017=typo2010.acp.2017_2;0.0494;0;
typo.2.4.2017=typo.2.4.2017_4;0.0484;0;
typo.2.4.2017=typo.2.4.2017_3;0.1233;0;
typo.2.4.2017=typo.2.4.2017_2;0.1382;0;
pauvrete.60=pauvrete.60_1;0.2442;0;
pauvreté.50=pauvreté.50_1;0.3745;0;
Surfhab=Surfhab_54;0.3813;0;
DNIVIE2=DNIVIE2_3;0.0437;0;
AGEPR=AGEPR_38;0.0755;0;
Surfhab=Surfhab_107;0.6923;0;
Surfhab=Surfhab_210;0.4013;0;
TUU=TUU_3;0.1257;0;
NCOUPLES=NCOUPLES_1;0.0705;0;
CS42PR=CS42PR_33;0.2126;0;
TYPVOIS=TYPVOIS_5;0.1048;0;
Espoirb=Espoirb_8;0.1274;0;
Espoirb=Espoirb_5;0.153;0;
stalog4=stalog4_4;0.0551;0;
decile.uc=decile.uc_3;0.0387;0;
DECTYPO_2010=DECTYPO_2010_D0_3;0.0387;0;
DECTYPO_2017=DECTYPO_2017_D0_3;0.0387;0;
Chomagea=Chomagea_5;0.0326;0;
Varia=Varia_2;0.3318;0;
Existrs=Existrs_1;0.0329;0;
CS42PR=CS42PR_78;0.0597;0;
Espoirb=Espoirb_11;0.0723;0;
CS42PR=CS42PR_54;0.1076;0;
Surfhab=Surfhab_145;0.4021;0;
CONFORT7=CONFORT7_0;0.0347;0;
TAU=TAU_2;0.1137;0;
Surfhab=Surfhab_105;0.1817;0;
Aise=Aise_2;0.0713;0;
Surfhab=Surfhab_180;0.1565;0;
Chomageb=Chomageb_99;0.1366;0;
Espoira=Espoira_3;0.1144;0;
Niveau=Niveau_5;0.0222;0;
Surfhab=Surfhab_78;0.2116;0;
Varic=Varic_6;0.0561;0;
Chomagea=Chomagea_9;0.0538;0;
Chomageb=Chomageb_1;0.0909;0;
Surfhab=Surfhab_116;0.312;0;
CATAEU=CATAEU_212;0.1105;0;
Surfhab=Surfhab_169;0.5474;0;
AGEPR=AGEPR_74;0.0833;0;
AGEPR=AGEPR_22;0.0523;0;
Niveau=Niveau_3;0.0532;0;
Espoirb=Espoirb_7;0.0129;0;
CS42PR=CS42PR_38;0.0646;0;
Surfhab=Surfhab_148;0.5439;0;
Niveau=Niveau_9;0.2304;0;
Nbphab=Nbphab_9;0.2252;0;
Varia=Varia_1;0.285;0;
Surfhab=Surfhab_115;0.1942;0;
Aise=Aise_9;0.4903;0;
CS42PR=CS42PR_72;0.0835;0;
AGEPR=AGEPR_80;0.0169;0;
Varic=Varic_2;0.1794;0;
Espoira=Espoira_8;0.1429;0;
Varic=Varic_4;0.1315;0;
Chomagec=Chomagec_1;0.1273;0;
AGEPR=AGEPR_86;0.0047;0;
CONFORT4=CONFORT4_1;0.0436;0;
Espoira=Espoira_9;0.0279;0;
AGEPR=AGEPR_89;0.0447;0;
Surfhab=Surfhab_89;0.2339;0;
Surfhab=Surfhab_128;0.4491;0;
Surfhab=Surfhab_118;0.163;0;
Surfhab=Surfhab_94;0.1916;0;
Varif=Varif_1;0.1695;0;
AGEPR=AGEPR_91;0.3758;0;
Surfhab=Surfhab_92;0.0907;0;
Patrib=Patrib_11;0.0955;0;
AGEPR=AGEPR_87;0.1498;0;
Patrib=Patrib_8;0.0243;0;
Surfhab=Surfhab_97;0.183;0;
Surfhab=Surfhab_62;0.1306;0;
Varib=Varib_5;0.0246;0;
Surfhab=Surfhab_49;0.1301;0;
CS42PR=CS42PR_23;0.104;0;
Htl=Htl_5;0.0947;0;
Contfin=Contfin_9;0.0091;0;
CS42PR=CS42PR_43;0.0354;0;
CS42PR=CS42PR_68;0.0622;0;
TAU=TAU_99;0.2278;0;
CATAEU=CATAEU_999;0.2393;0;
Contfin=Contfin_8;0.3086;0;
Surfhab=Surfhab_130;0.0638;0;
Nbrs=Nbrs_0;0.1198;0;
Varic=Varic_9;0.0756;0;
Varif=Varif_9;0.1138;0;
TAU=TAU_5;0.4387;0;
Chomagec=Chomagec_9;0.1511;0;
Chomagea=Chomagea_3;0.2335;0;
CS42PR=CS42PR_48;0.0349;0;
CS42PR=CS42PR_86;0.0421;0;
Htl=Htl_3;0.0668;0;
AGEPR=AGEPR_93;0.014;0;
CONFORT2=CONFORT2_0;0.0155;0;
Aise=Aise_5;0.1179;0;
Surfhab=Surfhab_117;0.1031;0;
Surfhab=Surfhab_149;0.1537;0;
CONFORT8=CONFORT8_1;0.0596;0;
Surfhab=Surfhab_10;0.1293;0;
Surfhab=Surfhab_144;0.112;0;
Surfhab=Surfhab_197;0.145;0;
Patrib=Patrib_15;0.0345;0;
Espoirb=Espoirb_3;0.0485;0;
Espoira=Espoira_11;0.057;0;
TUU=TUU_5;0.0188;0;
Nbrs=Nbrs_3;0.0622;0;
Patrib=Patrib_99;0.0505;0;
Contfin=Contfin_3;0.1406;0;
Nbphab=Nbphab_10;0.0858;0;
Surfhab=Surfhab_110;0.0231;0;
Surfhab=Surfhab_999;0.0188;1e-04;
Niveau=Niveau_4;0.065;0.0016;
Surfhab=Surfhab_95;0.0277;0.0049;
