"année";"nom territoire";"code insee";"nom commune";"secteur";"énergie";"usage";"valeur (GWh)"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Autres transports";"Organo-carburants";"Transport de personnes";"0,00663388538027538"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Autres transports";"PP";"Tous usages";"0,0795204702077167"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Autres transports";"PP";"Transport de personnes";"0,0795204702077167"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Autres transports";"Toutes énergies";"Tous usages";"0,0861543555879921"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Autres transports";"Toutes énergies";"Transport de personnes";"0,0861543555879921"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Gestion des déchets";"Electricité";"Tous usages";"0,323598171188992"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Gestion des déchets";"Toutes énergies";"Tous usages";"0,323598171188992"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Industrie hors branche énergie";"Electricité";"Tous usages";"1,6008961687064"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Industrie hors branche énergie";"ENRt";"Tous usages";"0,0623350675933572"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Industrie hors branche énergie";"Gaz";"Tous usages";"0,328191594777681"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Industrie hors branche énergie";"PP";"Tous usages";"5,96073276645089"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Industrie hors branche énergie";"Toutes énergies";"Tous usages";"7,95215559752833"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Electricité";"Autre électricité spécifique";"1,76374458828678"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Electricité";"Chauffage";"0,682530799863218"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Electricité";"Cuisson";"0,617613752055678"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Electricité";"Eclairage";"0,430363694958397"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Electricité";"ECS";"1,49961234383818"
