"année";"nom territoire";"code insee";"nom commune";"type d'occupation des sols";"absorption annuelle carbone en kteqCO2/an";"surface en km2"
"2018";"CC du Diois";"26001";"Solaure en Diois";"prairies";0,0520536006940288;0,284445905431851
"2018";"CC du Diois";"26001";"Solaure en Diois";"forets";8,11515934349272;8,80155379730807
"2018";"CC du Diois";"26001";"Solaure en Diois";"Total carbone absorbé";8,16721294418675;9,08599970273993
"2018";"CC du Diois";"26012";"Arnayon";"prairies";0,0191150318968855;0,104453726212489
"2018";"CC du Diois";"26012";"Arnayon";"forets";10,3690869073401;11,2461225197135
"2018";"CC du Diois";"26012";"Arnayon";"Total carbone absorbé";10,388201939237;11,350576245926
"2018";"CC du Diois";"26017";"Aucelon";"prairies";0,537292865373847;2,93602658674234
"2018";"CC du Diois";"26017";"Aucelon";"forets";13,5532974975826;14,699659243481
"2018";"CC du Diois";"26017";"Aucelon";"Total carbone absorbé";14,0905903629564;17,6356858302233
"2018";"CC du Diois";"26025";"Barnave";"prairies";0,00713726568737224;0,0390014518435642
"2018";"CC du Diois";"26025";"Barnave";"forets";6,51121948151403;7,06194988008217
"2018";"CC du Diois";"26025";"Barnave";"Total carbone absorbé";6,51835674720141;7,10095133192574
"2018";"CC du Diois";"26027";"Barsac";"prairies";0,429795770408084;2,34861076725729
"2018";"CC du Diois";"26027";"Barsac";"forets";6,34246733589453;6,87892438111002
"2018";"CC du Diois";"26027";"Barsac";"Total carbone absorbé";6,77226310630261;9,22753514836731
"2018";"CC du Diois";"26030";"La Bâtie-des-Fonds";"prairies";0,109089911295179;0,596119733853435
"2018";"CC du Diois";"26030";"La Bâtie-des-Fonds";"forets";9,85212130919575;10,6854310618096
"2018";"CC du Diois";"26030";"La Bâtie-des-Fonds";"Total carbone absorbé";9,96121122049093;11,2815507956631
"2018";"CC du Diois";"26036";"Beaumont-en-Diois";"prairies";0,142588606375048;0,779172712431958
"2018";"CC du Diois";"26036";"Beaumont-en-Diois";"forets";12,474721816446;13,5298557337564
"2018";"CC du Diois";"26036";"Beaumont-en-Diois";"Total carbone absorbé";12,617310422821;14,3090284461884
"2018";"CC du Diois";"26040";"Beaurières";"prairies";0,232075216057812;1,26817057955089
"2018";"CC du Diois";"26040";"Beaurières";"forets";17,6580476879992;19,1515964262589
"2018";"CC du Diois";"26040";"Beaurières";"Total carbone absorbé";17,890122904057;20,4197670058098
"2018";"CC du Diois";"26047";"Bellegarde-en-Diois";"prairies";0,0958705895448823;0,523883002977499
"2018";"CC du Diois";"26047";"Bellegarde-en-Diois";"forets";14,1975726289741;15,3984282989225
"2018";"CC du Diois";"26047";"Bellegarde-en-Diois";"Total carbone absorbé";14,2934432185189;15,9223113019
"2018";"CC du Diois";"26055";"Boulc";"prairies";0,635389879700625;3,47207584535861
"2018";"CC du Diois";"26055";"Boulc";"forets";42,7632577358587;46,3802493061482
"2018";"CC du Diois";"26055";"Boulc";"Total carbone absorbé";43,3986476155593;49,8523251515068
"2018";"CC du Diois";"26062";"Brette";"prairies";0,598198412487609;3,2688437840853
"2018";"CC du Diois";"26062";"Brette";"forets";5,95433653861327;6,45796479817806
"2018";"CC du Diois";"26062";"Brette";"Total carbone absorbé";6,55253495110088;9,72680858226336
"2018";"CC du Diois";"26067";"Chalancon";"prairies";0,147039377233359;0,803493864663164
"2018";"CC du Diois";"26067";"Chalancon";"forets";15,7141499582515;17,0432804067393
"2018";"CC du Diois";"26067";"Chalancon";"Total carbone absorbé";15,8611893354848;17,8467742714024
"2018";"CC du Diois";"26069";"Chamaloc";"prairies";0,196103824786248;1,07160559992485
"2018";"CC du Diois";"26069";"Chamaloc";"forets";16,4536051882566;17,8452800609801
"2018";"CC du Diois";"26069";"Chamaloc";"Total carbone absorbé";16,6497090130428;18,916885660905
"2018";"CC du Diois";"26076";"Charens";"prairies";0,109813432098362;0,600073399444598
"2018";"CC du Diois";"26076";"Charens";"forets";7,36452096390106;7,98742510301472
"2018";"CC du Diois";"26076";"Charens";"Total carbone absorbé";7,47433439599942;8,58749850245932
"2018";"CC du Diois";"26086";"Châtillon-en-Diois";"prairies";2,52044190441298;13,7729065814917
"2018";"CC du Diois";"26086";"Châtillon-en-Diois";"forets";68,2690714266214;74,043389589817
"2018";"CC du Diois";"26086";"Châtillon-en-Diois";"Total carbone absorbé";70,7895133310343;87,8162961713087
"2018";"CC du Diois";"26113";"Die";"prairies";0,571354435799495;3,12215538688249
"2018";"CC du Diois";"26113";"Die";"forets";30,4074658354916;32,9793827899994
"2018";"CC du Diois";"26113";"Die";"Total carbone absorbé";30,9788202712911;36,1015381768819
"2018";"CC du Diois";"26123";"Establet";"prairies";0,00339093507358198;0,0185296998556393
"2018";"CC du Diois";"26123";"Establet";"forets";9,48104225569597;10,2829654891463
"2018";"CC du Diois";"26123";"Establet";"Total carbone absorbé";9,48443319076955;10,301495189002
"2018";"CC du Diois";"26136";"Val-Maravel";"prairies";0,600444594120952;3,28111800066094
"2018";"CC du Diois";"26136";"Val-Maravel";"forets";13,8337124080239;15,0037921403656
